Unnamed: 0,idx,Option,Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1yr,2yr,2w%,1m%,2m%,3m%,4m%,5m%,6m%,7m%,8m%,9m%,10m%,11m%,1yr%,2yr%,active,done,skip,source,exchange
1,2,False,2021-07-12,2021-04-30,H,"American Environmental Energy, Inc.",Yu Wenyi,"CEO, 10%",P - Purchase,77.9,10000300.0,60761187.0,20.0,190045.0,79.46,74.01,70.73,82.47,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.99,-9.2,5.87,11.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
2,3,False,2021-05-28,2021-05-14,SCX,Starrett L S Co,Starrett Douglas A,"Pres, CEO",P - Purchase,9.16,500.0,1000.0,100.0,3230.0,8.9,9.36,8.02,7.3,11.76,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.84,2.18,-12.45,-20.31,28.38,13.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
5,6,True,2021-05-21,2021-05-19,EAST,"Eastside Distilling, Inc.",Block Paul,"COB, CEO",P - Purchase,2.15,20000.0,163909.0,14.0,35800.0,3.2,2.93,3.87,3.17,2.83,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.84,36.28,80.0,47.44,31.63,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
3,4,False,2021-05-21,2021-05-17,MICT,"Mict, Inc.",Mercer Darren,CEO,P - Purchase,1.97,6000000.0,6000000.0,New,8460000.0,2.54,2.19,1.91,1.77,1.75,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.93,11.17,-3.05,-10.15,-11.17,-27.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
4,5,False,2021-05-21,2021-05-19,T,At&t Inc.,Stankey John T,"CEO, Pres",P - Purchase,28.97,34614.0,499958.0,7.0,997227.0,27.94,27.92,27.55,27.57,27.03,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.56,-3.62,-4.9,-4.83,-6.7,-9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
7,8,False,2021-05-20,2021-05-19,SRRA,"Sierra Oncology, Inc.",Dilly Stephen George,"CEO, Pres",P - Purchase,18.58,5000.0,5000.0,New,89150.0,18.39,18.05,20.0,20.13,20.28,20.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02,-2.85,7.64,8.34,9.15,10.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
8,9,False,2021-05-20,2021-05-18,TPL,Texas Pacific Land Corp,Glover Tyler,"Pres, CEO",P - Purchase,1533.73,158.0,258.0,158.0,260605.0,1503.03,1586.3,1521.27,1433.86,1246.1,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,3.43,-0.81,-6.51,-18.75,-17.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
9,10,False,2021-05-20,2021-05-18,LIFE,Atyr Pharma Inc,Shukla Sanjay,"Pres, CEO",P - Purchase,4.43,10000.0,18298.0,121.0,40100.0,4.73,4.31,4.53,4.61,9.2,8.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,-2.71,2.26,4.06,107.67,95.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
10,11,False,2021-05-19,2021-05-17,APP,Applovin Corp,Foroughi Arash Adam,"CEO, Chairperson, 10%",P - Purchase,68.42,100000.0,100000.0,New,6172004.0,77.17,84.1,60.91,63.06,73.06,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,22.92,-10.98,-7.83,6.78,35.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
11,12,False,2021-05-19,2021-05-18,HJLI,"Hancock Jaffe Laboratories, Inc.",Berman Robert Andrew,CEO,P - Purchase,6.13,3000.0,3736.0,408.0,16410.0,6.46,5.99,5.8,7.2,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,-2.28,-5.38,17.46,41.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
