Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2021-10-05 16:15:09,2020-10-14,EBC,"Eastern Bankshares, Inc.",Koegel John Francis,"CEO, Eastern Insurance Group",P - Purchase,11.78,50000.0,50000.0,New,500000.0,11.82,13.47,16.0,19.31,18.86,0.0,0.34,14.35,35.82,63.92,60.1,0.0,True
2021-08-19 21:40:02,2021-04-15,BMEA,"Biomea Fusion, Inc.",Butler Thomas Andrew,"CEO, 10%",P - Purchase,18.6,204470.0,5132868.0,4.0,3301795.0,16.95,15.87,12.74,11.82,0.0,0.0,-8.87,-14.68,-31.51,-36.45,0.0,0.0,True
2021-08-05 19:58:42,2018-09-11,HMMR,Hammer Fiber Optics Holdings Corp,Levitt Erik B,"CEO, Pres",P - Purchase,0.56,291754.0,924059.0,46.0,0.0,0.49,0.38,0.45,0.7,0.46,0.2,-12.5,-32.14,-19.64,25.0,-17.86,-64.29,True
2021-07-12 11:13:25,2021-04-30,H,"American Environmental Energy, Inc.",Yu Wenyi,"CEO, 10%",P - Purchase,82.33,10000300.0,60761187.0,20.0,190045.0,79.23,78.08,70.16,86.0,0.0,0.0,-3.77,-5.16,-14.78,4.46,0.0,0.0,True
2021-05-17 16:32:08,2021-05-13,LTRX,Lantronix Inc,Pickle Paul H,"Pres, CEO",P - Purchase,5.07,40000.0,220995.0,22.0,198228.0,5.56,5.55,6.33,9.7,0.0,0.0,9.66,9.47,24.85,91.32,0.0,0.0,True
2021-05-17 07:31:56,2019-06-17,SILO,"Silo Pharma, Inc.",Weisblum Eric,"CEO, CFO, Pres",P - Purchase,0.35,58114.0,58114.0,New,281.0,0.35,0.36,0.27,0.28,0.0,0.0,0.0,2.86,-22.86,-20.0,0.0,0.0,True
2021-05-14 21:50:55,2021-04-09,ADF,Aldel Financial Inc.,Kauffman Robert I,"CEO, 10%",P - Purchase,9.77,2015000.0,2015000.0,New,0.0,9.78,9.85,10.08,0.0,0.0,0.0,0.1,0.82,3.17,0.0,0.0,0.0,True
2021-05-14 20:31:29,2021-05-13,EXTN,Exterran Corp,Way Andrew James,"Pres, CEO",P - Purchase,4.91,20000.0,460526.0,5.0,94000.0,4.72,5.08,3.98,4.28,0.0,0.0,-3.87,3.46,-18.94,-12.83,0.0,0.0,True
2021-05-14 16:59:18,2021-05-12,GTX,Garrett Motion Inc.,Rabiller Olivier,"Pres, CEO",P - Purchase,6.09,40000.0,120000.0,50.0,233800.0,8.63,7.81,7.23,6.74,0.0,0.0,41.71,28.24,18.72,10.67,0.0,0.0,True
2021-05-14 16:39:10,2021-05-12,SMMT,Summit Therapeutics Inc.,Duggan Robert W,"CEO, 10%",P - Purchase,5.41,11365921.0,67662454.0,20.0,59557426.0,7.82,6.82,7.36,5.16,0.0,0.0,44.55,26.06,36.04,-4.62,0.0,0.0,True
2021-05-14 10:59:12,2021-05-12,QUAD,"Quad/graphics, Inc.",Quadracci J Joel,"COB, Pres, CEO",P - Purchase,3.65,65300.0,1482187.0,5.0,202599.0,3.31,3.82,4.11,3.94,0.0,0.0,-9.32,4.66,12.6,7.95,0.0,0.0,True
2021-05-13 18:47:22,2021-05-13,CNP,Centerpoint Energy Inc,Lesar David J,"Pres, CEO",P - Purchase,24.71,50000.0,329722.0,18.0,1179000.0,,25.25,,26.75,0.0,0.0,,2.19,,8.26,0.0,0.0,True
2021-05-13 16:52:47,2021-05-12,JOE,St Joe Co,Gonzalez Jorge Luis,Pres - CEO,P - Purchase,44.39,1000.0,22080.0,5.0,41790.0,46.69,48.57,46.02,46.64,0.0,0.0,5.18,9.42,3.67,5.07,0.0,0.0,True
2021-05-13 11:31:49,2021-05-12,LPTH,Lightpath Technologies Inc,Rubin Shmuel,CEO,P - Purchase,2.41,2200.0,23020.0,11.0,5060.0,2.38,2.76,2.29,1.95,0.0,0.0,-1.24,14.52,-4.98,-19.09,0.0,0.0,True
2021-05-12 17:06:44,2021-05-10,FARM,Farmer Brothers Co,Maserang II D Deverl,"Pres, CEO",P - Purchase,10.39,11100.0,11100.0,New,99345.0,12.04,11.93,8.25,7.55,0.0,0.0,15.88,14.82,-20.6,-27.33,0.0,0.0,True
2021-05-12 17:04:06,2021-05-10,GTX,Garrett Motion Inc.,Rabiller Olivier,"Pres, CEO",P - Purchase,6.09,40000.0,80000.0,100.0,236386.0,8.63,7.81,7.23,6.74,0.0,0.0,41.71,28.24,18.72,10.67,0.0,0.0,True
2021-05-12 16:32:57,2020-03-03,BCOW,"1895 Bancorp of Wisconsin, Inc.",Hurd Richard B,"Pres, CEO",P - Purchase,7.72,3376.0,13376.0,34.0,37450.0,5.67,5.73,6.91,6.6,7.48,0.0,-26.55,-25.78,-10.49,-14.51,-3.11,0.0,True
2021-05-12 16:32:25,2021-05-11,AUPH,Aurinia Pharmaceuticals Inc.,Greenleaf Peter,CEO,P - Purchase,11.92,5125.0,13453.0,62.0,54891.0,14.52,12.86,17.54,33.08,0.0,0.0,21.81,7.89,47.15,177.52,0.0,0.0,True
2021-05-12 16:30:23,2021-05-10,CWEN,"Clearway Energy, Inc.",Sotos Christopher S,"Pres, CEO",P - Purchase,25.78,2000.0,27100.0,8.0,49108.0,26.23,26.22,31.64,31.22,0.0,0.0,1.75,1.71,22.73,21.1,0.0,0.0,True
2021-05-12 14:11:55,2021-05-11,OPCH,"Option Care Health, Inc.",Rademacher John Charles,CEO,P - Purchase,17.29,10000.0,10000.0,New,164236.0,18.34,21.01,27.86,27.33,0.0,0.0,6.07,21.52,61.13,58.07,0.0,0.0,True
2021-05-11 18:05:46,2021-05-11,AEIS,Advanced Energy Industries Inc,Kelley Stephen Douglas,"Pres, CEO",P - Purchase,93.52,5850.0,27902.0,27.0,497250.0,,102.68,,88.44,0.0,0.0,,9.79,,-5.43,0.0,0.0,True
2021-05-11 17:35:35,2021-05-07,HZN,Horizon Global Corp,Gohl Terry,"Pres, CEO",P - Purchase,7.55,7000.0,184007.0,4.0,50542.0,8.96,9.82,7.69,7.2,0.0,0.0,18.68,30.07,1.85,-4.64,0.0,0.0,True
2021-05-11 16:41:20,2021-05-07,GTX,Garrett Motion Inc.,Rabiller Olivier,"Pres, CEO",P - Purchase,5.68,10000.0,40000.0,33.0,58700.0,6.64,8.2,6.97,7.41,0.0,0.0,16.9,44.37,22.71,30.46,0.0,0.0,True
2021-05-11 16:40:47,2021-05-07,AZYO,"Aziyo Biologics, Inc.",Lloyd Ronald K.,"Pres, CEO",P - Purchase,11.58,8565.0,23151.0,59.0,100643.0,11.95,11.45,8.1,5.6,0.0,0.0,3.2,-1.12,-30.05,-51.64,0.0,0.0,True
2021-05-10 21:57:36,2021-05-06,VST,Vistra Corp.,Morgan Curtis A,CEO,P - Purchase,15.79,61730.0,757157.0,9.0,980581.0,16.41,17.11,17.98,17.9,0.0,0.0,3.93,8.36,13.87,13.36,0.0,0.0,True
2021-05-10 21:10:12,2021-05-06,VST,Vistra Corp.,Morgan Curtis A,CEO,P - Purchase,15.79,61730.0,757157.0,9.0,980581.0,16.41,17.11,17.98,17.9,0.0,0.0,3.93,8.36,13.87,13.36,0.0,0.0,True
