Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2020-12-31 17:34:51,2020-09-24,XAIR,"Beyond Air, Inc.",Beck Douglas,CFO,P - Purchase,5.11,3000.0,18460.0,19.0,14640.0,5.52,5.95,6.22,6.14,11.39,0.0,8.02,16.44,21.72,20.16,122.9,0.0,True
2020-12-31 16:44:59,2020-12-31,XAIR,"Beyond Air, Inc.",Beck Douglas,CFO,P - Purchase,5.27,3000.0,21460.0,16.0,15840.0,6.22,5.92,5.53,5.13,0.0,0.0,18.03,12.33,4.93,-2.66,0.0,0.0,True
2020-12-30 06:53:20,2020-12-29,FMFG,"Farmers & Merchants Bancshares, Inc.",Krebs Mark C.,"EVP, CFO",P - Purchase,13.14,500.0,4578.0,12.0,6625.0,13.19,13.54,20.75,22.33,0.0,0.0,0.38,3.04,57.91,69.94,0.0,0.0,True
2020-12-29 18:04:14,2020-12-28,NSYS,Nortech Systems Inc,Jones Christopher Dean,CFO,P - Purchase,7.17,14636.0,19197.0,321.0,91188.0,7.96,7.25,6.12,7.39,0.0,0.0,11.02,1.12,-14.64,3.07,0.0,0.0,True
2020-12-28 17:04:47,2020-12-23,NSYS,Nortech Systems Inc,Jones Christopher Dean,CFO,P - Purchase,6.0,2034.0,4561.0,80.0,11513.0,7.16,7.25,6.67,7.79,0.0,0.0,19.33,20.83,11.17,29.83,0.0,0.0,True
2020-12-28 16:30:50,2020-12-28,CLRB,"Cellectar Biosciences, Inc.",Elefant Dov,CFO,P - Purchase,2.08,7407.0,11755.0,170.0,9999.0,2.02,1.9,1.59,1.27,0.0,0.0,-2.88,-8.65,-23.56,-38.94,0.0,0.0,True
2020-12-28 16:12:16,2020-12-23,MIRM,"Mirum Pharmaceuticals, Inc.",Clements Ian,CFO,P - Purchase,18.25,2470.0,7841.0,46.0,45975.0,19.81,19.28,18.44,17.43,0.0,0.0,8.55,5.64,1.04,-4.49,0.0,0.0,True
2020-12-28 15:53:51,2020-12-23,SOFO,Sonic Foundry Inc,Boyd Kelsy L,CFO,P - Purchase,3.8,10000.0,10000.0,New,31100.0,3.72,3.96,4.73,3.91,0.0,0.0,-2.11,4.21,24.47,2.89,0.0,0.0,True
2020-12-28 06:21:08,2020-12-24,VVOS,"Vivos Therapeutics, Inc.",Amman Bradford K.,CFO,P - Purchase,7.38,1000.0,1000.0,New,7380.0,6.23,6.7,8.37,5.95,0.0,0.0,-15.58,-9.21,13.41,-19.38,0.0,0.0,True
2020-12-23 16:49:46,2020-12-22,NSYS,Nortech Systems Inc,Jones Christopher Dean,CFO,P - Purchase,6.0,2527.0,2527.0,New,13604.0,7.16,7.25,6.67,7.79,0.0,0.0,19.33,20.83,11.17,29.83,0.0,0.0,True
2020-12-22 16:03:19,2020-12-18,CWBR,"Cohbar, Inc.",Biunno Jeffrey Francis,"CFO, Treasurer, Secretary",P - Purchase,1.41,7490.0,18490.0,68.0,0.0,1.34,1.4,1.37,1.49,0.0,0.0,-4.96,-0.71,-2.84,5.67,0.0,0.0,True
2020-12-22 12:47:00,2020-12-22,CCNE,Cnb Financial Corp/pa,Lima Tito L,"EVP, CFO",P - Purchase,20.5,750.0,8050.0,10.0,15713.0,22.21,22.47,24.2,,25.67,0.0,8.34,9.61,18.05,,25.22,0.0,True
2020-12-21 17:00:34,2020-12-18,BRG,"Bluerock Residential Growth Reit, Inc.",Vohs Christopher J.,CFO,P - Purchase,11.27,2500.0,7500.0,50.0,56250.0,,11.38,,9.22,13.46,0.0,,0.98,,-18.19,19.43,0.0,True
2020-12-21 16:21:29,2020-12-17,NTAP,"Netapp, Inc.",Berry Michael J,"EVP Finance, Operations, CFO",P - Purchase,63.18,15000.0,37568.0,66.0,958329.0,64.57,,72.32,77.36,93.01,0.0,2.2,,14.47,22.44,47.21,0.0,True
2020-12-18 16:05:26,2020-12-16,CASI,"Casi Pharmaceuticals, Inc.",Xu Weihao,CFO,P - Purchase,2.78,6000.0,10000.0,150.0,15417.0,2.95,3.39,2.03,1.69,0.0,0.0,6.12,21.94,-26.98,-39.21,0.0,0.0,True
2020-12-18 11:52:20,2020-12-17,NWPP,New Peoples Bankshares Inc,Boczar John J.,"EVP, CFO",P - Purchase,2.14,2000.0,20075.0,11.0,4060.0,2.0,1.98,1.95,2.1,0.0,0.0,-6.54,-7.48,-8.88,-1.87,0.0,0.0,True
2020-12-17 18:23:12,2020-12-15,HYMC,Hycroft Mining Holding Corp,Rideout Stanton K,"EVP, CFO",P - Purchase,7.95,15000.0,15000.0,New,105000.0,7.85,7.24,4.0,3.79,0.0,0.0,-1.26,-8.93,-49.69,-52.33,0.0,0.0,True
2020-12-17 17:02:50,2019-09-12,OCX,Oncocyte Corp,Levine Mitchell S,CFO,P - Purchase,1.95,10000.0,13495.0,286.0,20060.0,1.93,1.7,2.41,2.15,1.75,5.3,-1.03,-12.82,23.59,10.26,-10.26,171.79,True
2020-12-17 16:17:01,2020-12-15,NMTR,"9 Meters Biopharma, Inc.",Sitar Edward J,CFO,P - Purchase,1.01,61538.0,129338.0,91.0,40000.0,0.86,1.32,1.15,1.38,0.0,0.0,-14.85,30.69,13.86,36.63,0.0,0.0,True
2020-12-17 11:05:44,2020-12-15,KFS,Kingsway Financial Services Inc,Hansen Kent A,"CFO, EVP",P - Purchase,4.61,332.0,1345.0,33.0,1496.0,4.7,4.86,4.48,5.01,0.0,0.0,1.95,5.42,-2.82,8.68,0.0,0.0,True
2020-12-17 08:00:25,2020-12-15,LIVX,"Livexlive Media, Inc.",Quartieri Michael,"CFO, EVP, Secretary",P - Purchase,3.1,19255.0,19255.0,New,55807.0,3.28,3.71,4.07,5.29,0.0,0.0,5.81,19.68,31.29,70.65,0.0,0.0,True
2020-12-16 21:00:59,2020-12-14,ADAP,Adaptimmune Therapeutics Plc,Wood Gavin,CFO,P - Purchase,4.91,24000.0,57000.0,73.0,16550.0,5.39,5.72,5.05,4.72,0.0,0.0,9.78,16.5,2.85,-3.87,0.0,0.0,True
2020-12-16 18:45:08,2020-12-15,CSTR,"Capstar Financial Holdings, Inc.",Duncan Denis J.,CFO,P - Purchase,14.62,11150.0,24952.0,81.0,150414.0,14.62,15.43,17.54,21.55,21.97,0.0,0.0,5.54,19.97,47.4,50.27,0.0,True
2020-12-16 14:52:46,2020-12-14,RDI,Reading International Inc,Avanes Gilbert,"EVP, CFO, Treasurer",P - Purchase,4.87,467.0,3148.0,17.0,2073.0,5.02,7.06,6.47,6.6,0.0,0.0,3.08,44.97,32.85,35.52,0.0,0.0,True
