Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2021-09-30 18:42:23,2021-09-28,CWAN,"Clearwater Analytics Holdings, Inc.",Cox James S,CFO,P - Purchase,24.46,1786.0,1786.0,New,32148.0,24.36,22.48,0.0,0.0,0.0,0.0,-0.41,-8.09,0.0,0.0,0.0,0.0,True
2021-09-29 20:10:33,2021-09-27,ESMT,"Engagesmart, Inc.",Hudson Cassandra,CFO,P - Purchase,34.13,1000.0,1000.0,New,26000.0,32.28,33.53,0.0,0.0,0.0,0.0,-5.42,-1.76,0.0,0.0,0.0,0.0,True
2021-09-29 16:10:59,2021-09-29,KMPH,"Kempharm, Inc",Clifton R. Laduane,"CFO, Secretary, Treasurer",P - Purchase,9.29,215.0,4730.0,5.0,2017.0,9.77,9.5,0.0,0.0,0.0,0.0,5.17,2.26,0.0,0.0,0.0,0.0,True
2021-09-29 13:59:33,2021-09-28,INM,Inmed Pharmaceuticals Inc.,Colwill Bruce,CFO,P - Purchase,1.7,5000.0,6515.0,330.0,8840.0,1.4,1.52,0.0,0.0,0.0,0.0,-17.65,-10.59,0.0,0.0,0.0,0.0,True
2021-09-28 21:16:26,2021-09-27,THRN,"Thorne Healthtech, Inc.",Wheeler Scott,CFO,P - Purchase,8.48,2000.0,35820.0,6.0,20000.0,8.02,8.18,0.0,0.0,0.0,0.0,-5.42,-3.54,0.0,0.0,0.0,0.0,True
2021-09-23 16:44:43,2021-09-22,UIHC,United Insurance Holdings Corp.,Martz Brad,"Pres, CFO",P - Purchase,3.48,7500.0,74945.0,11.0,25275.0,4.44,4.4,0.0,0.0,0.0,0.0,27.59,26.44,0.0,0.0,0.0,0.0,True
2021-09-23 16:17:46,2021-09-23,EVRG,"Evergy, Inc.",Andrews Kirkland B,EVP - CFO,P - Purchase,63.15,7875.0,22091.0,55.0,501392.0,62.01,64.64,0.0,0.0,0.0,0.0,-1.81,2.36,0.0,0.0,0.0,0.0,True
2021-09-23 14:32:30,2021-09-23,ENBP,Enb Financial Corp,Bitner Rachel G,CFO,P - Purchase,21.9,200.0,1154.0,21.0,4482.0,22.2,22.01,0.0,0.0,0.0,0.0,1.37,0.5,0.0,0.0,0.0,0.0,True
2021-09-23 08:11:55,2021-09-21,GAXY,"Galaxy Next Generation, Inc.",McGahee Magen,CFO,P - Purchase,0.01,1030000.0,7724081.0,15.0,9843.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2021-09-22 21:30:44,2021-09-22,HARP,"Harpoon Therapeutics, Inc.",Erbez Georgia,CFO,P - Purchase,7.96,10300.0,98207.0,12.0,83430.0,6.83,6.42,0.0,0.0,0.0,0.0,-14.2,-19.35,0.0,0.0,0.0,0.0,True
2021-09-22 19:36:52,2021-09-21,PALI,"Palisade Bio, Inc.",Finley John David,CFO,P - Purchase,2.42,2000.0,40718.0,5.0,4880.0,2.45,2.61,0.0,0.0,0.0,0.0,1.24,7.85,0.0,0.0,0.0,0.0,True
2021-09-22 18:51:08,2021-09-21,TCRX,"Tscan Therapeutics, Inc.",Silver Brian M.,CFO,P - Purchase,7.9,5000.0,11885.0,73.0,31585.0,7.81,7.79,0.0,0.0,0.0,0.0,-1.14,-1.39,0.0,0.0,0.0,0.0,True
2021-09-22 16:05:26,2021-03-12,HAYW,"Hayward Holdings, Inc.",Jones Eifion,"SVP, CFO",P - Purchase,17.0,6500.0,6500.0,New,110500.0,16.02,16.89,25.6,21.39,0.0,0.0,-5.76,-0.65,50.59,25.82,0.0,0.0,True
2021-09-20 17:03:14,2021-09-20,KMPH,"Kempharm, Inc",Clifton R. Laduane,"CFO, Secretary, Treasurer",P - Purchase,9.1,935.0,4515.0,26.0,8028.0,8.77,10.09,0.0,0.0,0.0,0.0,-3.63,10.88,0.0,0.0,0.0,0.0,True
2021-09-20 16:08:49,2021-09-20,ACT,"Enact Holdings, Inc.",Mitchell Hardin Dean,"EVP, CFO, Treasurer",P - Purchase,21.85,20000.0,20000.0,New,380000.0,20.91,22.98,0.0,0.0,0.0,0.0,-4.3,5.17,0.0,0.0,0.0,0.0,True
