Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2021-06-03 19:11:43,2021-06-03,CSV,Carriage Services Inc,Quezada Carlos R.,COO,P - Purchase,37.94,1000.0,3699.0,37.0,37470.0,36.9,36.52,45.76,0.0,0.0,0.0,-2.74,-3.74,20.61,0.0,0.0,0.0,True
2021-05-28 13:38:42,2021-05-27,EYEN,"Eyenovia, Inc.",Rowe Michael M,COO,P - Purchase,4.78,1400.0,2800.0,100.0,6594.0,5.44,5.4,4.5,0.0,0.0,0.0,13.81,12.97,-5.86,0.0,0.0,0.0,True
2021-05-27 11:00:48,2021-05-21,XDSL,"Mphase Technologies, Inc.",Kodumudi Venkat Jayaraman,COO,P - Purchase,0.34,2000.0,2000.0,New,680.0,0.33,0.42,0.27,0.19,0.0,0.0,-2.94,23.53,-20.59,-44.12,0.0,0.0,True
2021-05-19 17:03:10,2021-05-17,BBI,"Brickell Biotech, Inc.",Sklawer Andrew D,"COO, Secretary",P - Purchase,0.9,15375.0,124625.0,14.0,12300.0,0.86,0.83,0.79,0.4,0.0,0.0,-4.44,-7.78,-12.22,-55.56,0.0,0.0,True
2021-05-17 16:01:52,2021-05-13,NOTV,"Inotiv, Inc.",Beattie John Gregory,COO,P - Purchase,23.14,5000.0,30440.0,20.0,114550.0,24.88,28.92,29.09,48.39,0.0,0.0,7.52,24.98,25.71,109.12,0.0,0.0,True
2021-05-14 08:06:19,2021-05-13,DCTH,"Delcath Systems, Inc.",Purpura John,COO,P - Purchase,10.2,4000.0,18713.0,27.0,37680.0,10.7,11.87,9.87,11.11,0.0,0.0,4.9,16.37,-3.24,8.92,0.0,0.0,True
2021-05-11 17:29:09,2021-05-07,SSD,"Simpson Manufacturing Co., Inc.",Olosky Michael,COO,P - Purchase,117.92,400.0,3576.0,13.0,46972.0,111.76,109.85,112.05,,0.0,0.0,-5.22,-6.84,-4.98,,0.0,0.0,True
2021-05-11 10:10:51,2021-05-10,MOFG,"Midwestone Financial Group, Inc.",Devaisher Len D,"Pres, COO",P - Purchase,31.06,1485.0,10811.0,16.0,46406.0,31.08,31.18,29.76,30.42,0.0,0.0,0.06,0.39,-4.19,-2.06,0.0,0.0,True
2021-05-10 19:48:47,2021-05-07,CCXI,"Chemocentryx, Inc.",Butt Tausif,"EVP, COO",P - Purchase,10.46,10870.0,10870.0,New,120241.0,9.59,10.03,15.73,34.57,0.0,0.0,-8.32,-4.11,50.38,230.5,0.0,0.0,True
2021-05-06 17:22:54,2021-05-04,FSBC,Five Star Bancorp,Ramirez-Medina Lydia Ann,"SVP, COO, Chief DE, I Officer",P - Purchase,24.6,150.0,150.0,New,3000.0,26.28,24.81,23.78,25.09,0.0,0.0,6.83,0.85,-3.33,1.99,0.0,0.0,True
2021-05-06 16:27:14,2021-05-04,VACC,Vaccitech Plc,Ellis Christopher,COO,P - Purchase,13.53,75.0,75.0,New,1275.0,14.58,13.98,15.39,14.26,0.0,0.0,7.76,3.33,13.75,5.4,0.0,0.0,True
2021-04-27 16:01:54,2021-04-26,NBSE,"Neubase Therapeutics, Inc.",Mann William Roland,COO,P - Purchase,6.03,5000.0,5000.0,New,25000.0,5.08,5.17,3.27,3.94,0.0,0.0,-15.75,-14.26,-45.77,-34.66,0.0,0.0,True
2021-04-16 16:38:51,2021-04-15,YORW,York Water Co,Wheeler Mark A,COO,P - Purchase,51.54,110.0,1075.0,11.0,5056.0,51.22,48.19,48.06,44.26,0.0,0.0,-0.62,-6.5,-6.75,-14.12,0.0,0.0,True
2021-04-08 16:16:46,2021-04-07,WINT,Windtree Therapeutics Inc /de/,Curtis Eric,"SVP, COO",P - Purchase,2.39,791.0,1291.0,158.0,1991.0,2.24,2.05,1.89,1.89,0.0,0.0,-6.28,-14.23,-20.92,-20.92,0.0,0.0,True
2021-04-05 20:06:46,2021-04-01,CTOS,"Custom Truck One Source, Inc.",McMonagle Ryan,"Pres, COO",P - Purchase,9.35,130000.0,197926.0,191.0,650000.0,10.02,10.26,8.19,9.51,0.0,0.0,7.17,9.73,-12.41,1.71,0.0,0.0,True
2021-04-01 18:35:25,2021-03-30,DSGN,"Design Therapeutics, Inc.",Jeffries Sean,COO,P - Purchase,29.75,3050.0,3050.0,New,61000.0,23.5,26.23,18.29,16.17,0.0,0.0,-21.01,-11.83,-38.52,-45.65,0.0,0.0,True
2021-03-24 18:54:40,2021-03-23,ADV,Advantage Solutions Inc.,Stevens Brian,"CFO, COO",P - Purchase,11.84,4310.0,4310.0,New,50039.0,12.89,12.94,10.21,8.39,0.0,0.0,8.87,9.29,-13.77,-29.14,0.0,0.0,True
2021-03-23 14:30:32,2021-03-23,CRDF,"Cardiff Oncology, Inc.",Kelemen Vicki,"EVP, COO",P - Purchase,9.96,960.0,6053.0,19.0,9898.0,9.27,8.69,5.82,6.3,0.0,0.0,-6.93,-12.75,-41.57,-36.75,0.0,0.0,True
2021-03-18 17:24:14,2021-03-18,FVIV,Fortress Value Acquisition Corp. IV,Kaplan Micah B,COO,P - Purchase,9.8,7500.0,7500.0,New,0.0,9.79,9.74,9.65,9.75,0.0,0.0,-0.1,-0.61,-1.53,-0.51,0.0,0.0,True
2021-03-17 16:27:08,2021-03-15,FNHC,Fednat Holding Co,McCahill Patrick,COO,P - Purchase,4.92,2500.0,2500.0,New,11875.0,4.67,4.49,3.36,2.38,0.0,0.0,-5.08,-8.74,-31.71,-51.63,0.0,0.0,True
2021-03-16 21:49:51,2021-03-16,RXDX,"Prometheus Biosciences, Inc.",Stenhouse Mark,COO,P - Purchase,21.19,14000.0,14000.0,New,266000.0,18.18,25.99,26.84,23.72,0.0,0.0,-14.2,22.65,26.66,11.94,0.0,0.0,True
2021-03-15 21:00:29,2021-03-11,AINC,Ashford Inc.,Welter Jeremy,"Pres, COO, 10%",P - Purchase,8.45,24347.0,211139.0,13.0,200386.0,9.05,9.0,22.39,16.58,0.0,0.0,7.1,6.51,164.97,96.21,0.0,0.0,True
2021-03-15 13:30:50,2021-03-12,ADMQ,"Adm Endeavors, Inc.",Nelson Sarah,COO,P - Purchase,0.08,217685.0,1192054.0,22.0,13350.0,0.08,0.08,0.09,0.07,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,0.0,True
