Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2021-10-15 19:53:10,2020-09-30,LPTV,"Loop Media, Inc.",Cassidy Bruce A. Sr.,"Dir, 10%",P - Purchase,3.1,6993108.0,7004619.0,999.0,3116427.0,3.57,3.31,3.0,2.5,0.0,0.0,15.16,6.77,-3.23,-19.35,0.0,0.0,True
2021-10-07 13:07:13,2020-03-12,RRBI,Red River Bancshares Inc,Thompson Don Louis,Dir,P - Purchase,39.58,4250.0,8367.0,103.0,172678.0,39.08,35.02,44.23,43.97,52.01,0.0,-1.26,-11.52,11.75,11.09,31.4,0.0,True
2021-09-27 06:42:14,2018-07-09,IVDA,"Iveda Solutions, Inc.",Farnsworth Joe,Dir,P - Purchase,0.04,35090.0,159511.0,28.0,3811.0,0.03,0.07,0.03,0.04,0.25,0.41,-25.0,75.0,-25.0,0.0,525.0,925.0,True
2021-09-22 16:04:48,2021-03-12,HAYW,"Hayward Holdings, Inc.",Walker Lori A,Dir,P - Purchase,17.0,2000.0,9352.0,27.0,34000.0,16.02,16.89,25.6,21.39,0.0,0.0,-5.76,-0.65,50.59,25.82,0.0,0.0,True
2021-09-22 16:01:44,2021-03-12,HAYW,"Hayward Holdings, Inc.",Silber Lawrence Harris,Dir,P - Purchase,17.0,10000.0,17352.0,136.0,170000.0,16.02,16.89,25.6,21.39,0.0,0.0,-5.76,-0.65,50.59,25.82,0.0,0.0,True
2021-08-25 13:31:30,2021-04-09,ADF,Aldel Financial Inc.,Nearburg Charles E.,Dir,P - Purchase,9.77,215000.0,215000.0,New,0.0,9.78,9.85,10.08,0.0,0.0,0.0,0.1,0.82,3.17,0.0,0.0,0.0,True
2021-08-25 13:24:49,2021-04-09,ADF,Aldel Financial Inc.,Friedman Martin S.,Dir,P - Purchase,9.77,25000.0,25000.0,New,0.0,9.78,9.85,10.08,0.0,0.0,0.0,0.1,0.82,3.17,0.0,0.0,0.0,True
2021-08-18 18:40:44,2021-07-06,DNUT,"Krispy Kreme, Inc.",Roberts Debbie Sharell,Dir,P - Purchase,19.24,4950.0,4950.0,New,84150.0,16.66,15.28,12.72,0.0,0.0,0.0,-13.41,-20.58,-33.89,0.0,0.0,0.0,True
2021-08-18 18:36:54,2021-07-06,DNUT,"Krispy Kreme, Inc.",Capel Patricia,Dir,P - Purchase,19.24,4620.0,10277.0,82.0,78540.0,16.66,15.28,12.72,0.0,0.0,0.0,-13.41,-20.58,-33.89,0.0,0.0,0.0,True
2021-08-10 10:37:21,2021-06-15,GFOO,Genufood Energy Enzymes Corp.,Lai Wen Piao,Dir,P - Purchase,0.04,11000000.0,18060500.0,156.0,110000.0,0.06,0.04,0.03,0.0,0.0,0.0,50.0,0.0,-25.0,0.0,0.0,0.0,True
2021-08-05 19:58:42,2018-09-11,HMMR,Hammer Fiber Optics Holdings Corp,Levitt Erik B,"CEO, Pres",P - Purchase,0.56,291754.0,924059.0,46.0,0.0,0.49,0.38,0.45,0.7,0.46,0.2,-12.5,-32.14,-19.64,25.0,-17.86,-64.29,True
2021-07-19 09:47:17,2021-07-06,OBTX,"Everything Blockchain, Inc.",Hawkins Michael W,CFO,P - Purchase,6.05,275000.0,575000.0,92.0,4829500.0,8.4,12.95,10.65,0.0,0.0,0.0,38.84,114.05,76.03,0.0,0.0,0.0,True
2021-07-16 16:05:20,2021-07-14,ASPU,"Aspen Group, Inc.",Kass Douglas,Dir,P - Purchase,5.9,50000.0,51775.0,999.0,287000.0,6.59,6.05,5.43,0.0,0.0,0.0,11.69,2.54,-7.97,0.0,0.0,0.0,True
2021-07-15 20:24:47,2021-07-14,IVAN,Ivanhoe Capital Acquisition Corp.,Friedland Robert M,"COB, CEO",P - Purchase,9.91,100000.0,100000.0,New,1000000.0,9.87,9.86,10.45,0.0,0.0,0.0,-0.4,-0.5,5.45,0.0,0.0,0.0,True
2021-07-15 18:11:09,2021-07-13,UP,Wheels Up Experience Inc.,Radecki Brian J,Dir,P - Purchase,10.25,50000.0,86890.0,136.0,0.0,8.0,8.44,7.36,0.0,0.0,0.0,-21.95,-17.66,-28.2,0.0,0.0,0.0,True
2021-07-15 18:04:13,2021-07-13,UP,Wheels Up Experience Inc.,Cheung Chih T,Dir,P - Purchase,10.25,50000.0,50000.0,New,500000.0,8.0,8.44,7.36,0.0,0.0,0.0,-21.95,-17.66,-28.2,0.0,0.0,0.0,True
2021-07-15 16:12:59,2021-07-14,ASPU,"Aspen Group, Inc.",Koehneman Michael L,Dir,P - Purchase,5.9,4000.0,9954.0,67.0,22960.0,6.59,6.05,5.43,0.0,0.0,0.0,11.69,2.54,-7.97,0.0,0.0,0.0,True
2021-07-14 16:26:46,2021-07-12,NECB,"Northeast Community Bancorp, Inc./Md/",McKenzie John F,Dir,P - Purchase,10.48,5000.0,11700.0,75.0,50000.0,10.26,,10.74,0.0,0.0,0.0,-2.1,,2.48,0.0,0.0,0.0,True
