idx,Option,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1yr,2yr,2w%,1m%,2m%,3m%,4m%,5m%,6m%,7m%,8m%,9m%,10m%,11m%,1yr%,2yr%,active,done,skip,source,exchange
4,True,2021-06-17,2019-11-12,GRTX,"Galera Therapeutics, Inc.",Pharmaceutical Preparations,8.0,P - Purchase,8.92,2467036.0,14705105.0,20.0,29448245.0,9.85,9.29,8.25,7.41,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43,4.15,-7.51,-16.93,-12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
15,True,2021-06-17,2013-10-16,MGNX,Macrogenics Inc,Pharmaceutical Preparations,3.0,P - Purchase,20.94,231875.0,7577048.0,3.0,4566005.0,26.85,24.89,24.42,25.03,20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.22,18.86,16.62,19.53,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
6,False,2021-06-17,2021-06-15,ASAN,"Asana, Inc.",Prepackaged Software,2.0,P - Purchase,49.42,1556200.0,6564001.0,31.0,67546474.0,63.07,66.78,77.89,101.36,103.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.62,35.13,57.61,105.1,108.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
8,True,2021-06-17,2021-06-15,GEO,Geo Group Inc,Real Estate Investment Trusts,4.0,P - Purchase,7.25,1380572.0,4050120.0,52.0,23080620.0,7.14,6.73,8.33,7.39,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.52,-7.17,14.9,1.93,17.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
9,False,2021-06-17,2021-06-15,CLR,"Continental Resources, Inc",Crude Petroleum & Natural Gas,8.0,P - Purchase,36.309367,13254718.0,298566848.0,5.0,308138734.0,39.37,35.48,37.35,39.13,54.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43,-2.28,2.87,7.77,49.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
16,False,2021-06-17,2021-05-27,FGBI,"First Guaranty Bancshares, Inc.","Savings Institution, Federally Chartered",5.0,P - Purchase,19.026081,1473183.0,5232990.0,39.0,26579225.0,19.0,19.49,19.63,18.69,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,2.44,3.17,-1.77,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
13,True,2021-06-17,2020-03-20,PFSI,"Pennymac Financial Services, Inc.",Mortgage Bankers & Loan Correspondents,4.0,P - Purchase,61.527608,6971637.0,7984242.0,688.0,424389193.0,60.98,59.3,67.02,63.83,63.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,-3.62,8.93,3.74,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
7,False,2021-06-17,2019-05-07,RILY,"B. Riley Financial, Inc.",Business Services,22.0,P - Purchase,64.693179,90041299.0,114433295.0,369.0,59866319.0,70.02,64.67,63.38,57.8,56.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23,-0.04,-2.03,-10.66,-12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
17,False,2021-06-17,2021-06-15,NGL,Ngl Energy Partners LP,Petroleum & Petroleum Products (No Bulk Stations),13.0,P - Purchase,2.275,1499120.0,10640425.0,16.0,19507543.0,2.42,2.28,1.53,1.77,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37,0.22,-32.75,-22.2,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
5,True,2021-06-17,2014-12-01,RIG,Transocean Ltd.,Drilling Oil & Gas Wells,8.0,P - Purchase,4.22,14247149.0,145812777.0,11.0,80966711.0,4.78,3.76,3.44,3.55,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.27,-10.9,-18.48,-15.88,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
2,True,2021-06-17,2016-03-11,PDSB,Pds Biotechnology Corp,Pharmaceutical Preparations,11.0,P - Purchase,9.39,1598518.0,5905726.0,37.0,15447043.0,12.5,9.74,10.7,15.2,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.12,3.73,13.95,61.87,43.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
12,True,2021-06-17,2016-08-09,CTHR,Charles & Colvard Ltd,"Jewelry, Silverware & Plated Ware",9.0,P - Purchase,2.72,1894257.0,4539112.0,72.0,2605738.0,2.95,2.71,2.66,2.72,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.46,-0.37,-2.21,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
10,True,2021-06-17,2016-08-19,NNBR,Nn Inc,Ball & Roller Bearings,12.0,P - Purchase,7.21,158888.0,765727.0,26.0,2133430.0,7.43,7.17,6.05,5.12,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,-0.55,-16.09,-28.99,-33.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
1,True,2021-06-17,2021-06-15,ONDS,Ondas Holdings Inc.,Radio & Tv Broadcasting & Communications Equipment,2.0,P - Purchase,7.84,405000.0,5502899.0,8.0,1041750.0,7.86,7.51,7.88,7.53,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-4.21,0.51,-3.95,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
