Unnamed: 0,idx,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1yr,2yr,2w%,1m%,2m%,3m%,4m%,5m%,6m%,7m%,8m%,9m%,10m%,11m%,1yr%,2yr%,active,done,skip,source,exchange
0,1,2021-11-12,2021-02-01,MORN,"Morningstar, Inc.",Investment Advice,2.0,P - Purchase,0.0,630.0,20916.0,3.0,75608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
1,2,2021-10-13,2021-01-19,ICD,"Independence Contract Drilling, Inc.",Drilling Oil & Gas Wells,13.0,P - Purchase,5.45,2519484.0,31113092.0,9.0,22093245.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
2,3,2021-10-07,2020-03-12,RRBI,Red River Bancshares Inc,State Commercial Banks,4.0,P - Purchase,51.61,22437.0,665140.0,3.0,920230.0,52.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
3,4,2021-09-15,2016-06-20,CBKM,Consumers Bancorp Inc /oh/,"Savings Institutions, Not Federally Chartered",22.0,P - Purchase,0.0,47973.0,797400.0,6.0,821161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
4,5,2021-09-10,2021-04-16,CPIX,Cumberland Pharmaceuticals Inc,Pharmaceutical Preparations,7.0,P - Purchase,3.05,89897.0,6306469.0,1.0,492193.0,2.73,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.49,-11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
5,6,2021-09-01,2020-08-13,VISM,"Visium Technologies, Inc.",Computer Programming Services,2.0,P - Purchase,0.0,15594219.0,534385564.0,3.0,28551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
6,7,2021-08-19,2021-04-15,BMEA,"Biomea Fusion, Inc.",Pharmaceutical Preparations,2.0,P - Purchase,12.0,408940.0,10031059.0,4.0,6603590.0,13.86,10.33,11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,-13.92,-4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
7,8,2021-08-11,2019-03-20,SCIA,"Sci Engineered Materials, Inc.",Electrical Industrial Apparatus,2.0,P - Purchase,0.0,36550.0,595262.0,7.0,56538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
8,9,2021-08-03,2020-03-20,STGW,Stagwell Inc,"Security Brokers, Dealers & Flotation Companies",21.0,P - Purchase,5.45,979471.0,28951092.0,4.0,5179708.0,6.61,6.79,7.6,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.28,24.59,39.45,52.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
9,10,2021-07-28,2021-01-19,WOOF,"Petco Health & Wellness Company, Inc.",Retail Stores,6.0,P - Purchase,20.57,10300.0,404435.0,3.0,185400.0,19.62,21.68,22.23,24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.62,5.4,8.07,20.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NASDAQ
10,11,2021-07-16,2020-11-10,PI,Impinj Inc,Electronic Components,8.0,P - Purchase,40.45,701184.0,11542782.0,6.0,17491475.0,46.5,49.1,52.41,52.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.96,21.38,29.57,29.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,ALPACA,
11,12,2021-07-07,2020-08-07,ENLC,"Enlink Midstream, LLC",Natural Gas Transmission,6.0,P - Purchase,6.11,351157.0,4755324.0,8.0,2132387.0,5.45,5.11,5.72,7.13,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.8,-16.37,-6.38,16.69,29.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
12,13,2021-07-06,2015-11-04,SPLP,Steel Partners Holdings L.P.,Miscellaneous Primary Metal Products,5.0,P - Purchase,29.79,1247780.0,14870278.0,9.0,5326604.0,29.73,33.97,28.54,28.94,29.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,14.03,-4.2,-2.85,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,ALPACA,NYSE
