Unnamed: 0,idx,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1yr,2yr,2w%,1m%,2m%,3m%,4m%,5m%,6m%,7m%,8m%,9m%,10m%,11m%,1yr%,2yr%,active,done,skip
69,70,2021-04-21 16:05:46,2021-04-19,AGL,"Agilon Health, Inc.",Misc Health & Allied Services,2.0,P - Purchase,30.02,26700.0,40612.0,192.0,614100.0,32.59,30.67,42.94,34.0,34.56,28.54,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.56,2.17,43.04,13.26,15.12,-4.93,-22.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
65,66,2021-04-21 19:57:14,2021-04-19,SEAC,Seachange International Inc,Radio & Tv Broadcasting & Communications Equipment,10.0,P - Purchase,1.0,2804876.0,10835537.0,35.0,5601304.0,1.07,1.08,1.08,1.05,1.02,1.02,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,5.0,2.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
68,69,2021-04-21 16:05:49,2021-04-19,SWBI,Tusimple Holdings Inc.,Computer Integrated Systems Design,2.0,P - Purchase,18.039136,9642.0,89642.0,12.0,385680.0,19.38,19.04,20.76,24.13,23.9,20.83,21.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43,5.55,15.08,33.76,32.49,15.47,19.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
76,77,2021-04-20 19:56:22,2021-04-19,OTLK,"Outlook Therapeutics, Inc.","Biological Products, (No Diagnostic Substances)",9.0,P - Purchase,1.77,12430192.0,60257939.0,26.0,12552577.0,2.22,2.35,2.57,2.2,2.38,2.29,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.42,32.77,45.2,24.29,34.46,29.38,18.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
88,89,2021-04-19 19:29:40,2021-04-19,CRTD,"Creatd, Inc.",Allied to Motion Picture Production,8.0,P - Purchase,4.008,6892064.0,53646056.0,15.0,2445077.0,2.93,3.14,3.61,3.76,3.05,2.96,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.9,-21.66,-9.93,-6.19,-23.9,-26.15,-27.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
91,92,2021-04-19 16:16:59,2021-04-19,JPM,Jpmorgan Chase & Co,National Commercial Banks,10.0,P - Purchase,151.670689,2521105.0,20325660.0,14.0,133878841.0,156.05,158.97,147.27,147.72,158.06,152.78,167.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,4.81,-2.9,-2.6,4.21,0.73,10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
95,96,2021-04-19 06:15:24,2021-04-16,QLGN,"Qualigen Therapeutics, Inc.",Pharmaceutical Preparations,9.0,P - Purchase,1.8,12164702.0,16640424.0,272.0,8488682.0,1.88,1.86,2.07,1.67,1.77,1.46,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,3.33,15.0,-7.22,-1.67,-18.89,-35.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
59,60,2021-04-27 12:41:53,2021-04-16,LIQT,Liqtech International Inc,Misc Industrial & Commercial Machinery & Equipment,9.0,P - Purchase,7.65,854650.0,7566915.0,13.0,2140133.0,7.41,7.24,7.48,6.57,5.26,5.82,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.14,-5.36,-2.22,-14.12,-31.24,-23.92,-25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
87,88,2021-04-20 07:44:42,2021-04-16,WINT,Windtree Therapeutics Inc /de/,"Biological Products, (No Diagnostic Substances)",15.0,P - Purchase,2.15,17841342.0,26581078.0,204.0,65866877.0,2.14,1.73,2.21,1.67,1.78,1.91,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47,-19.53,2.79,-22.33,-17.21,-11.16,-11.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
84,85,2021-04-20 16:10:56,2021-04-16,ARTL,"Artelo Biosciences, Inc.",Pharmaceutical Preparations,2.0,P - Purchase,1.09,73834.0,327343.0,29.0,101577.0,1.3,1.18,1.21,1.0,0.86,0.82,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.27,8.26,11.01,-8.26,-21.1,-24.77,-30.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
75,76,2021-04-20 21:30:12,2021-04-16,RXRX,"Recursion Pharmaceuticals, Inc.","Biological Products, (No Diagnostic Substances)",2.0,P - Purchase,30.0,2877777.0,26028012.0,12.0,51799986.0,34.73,21.14,31.48,40.63,28.63,25.26,17.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.77,-29.53,4.93,35.43,-4.57,-15.8,-40.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
62,63,2021-04-23 17:06:34,2021-04-16,AMPG,"Amplitech Group, Inc.",Communications Equipment,3.0,P - Purchase,6.39,5789133.0,21292196.0,37.0,200903.0,5.14,3.93,5.5,3.85,3.71,3.35,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.56,-38.5,-13.93,-39.75,-41.94,-47.57,-46.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
94,95,2021-04-19 14:15:24,2021-04-15,WMPN,William Penn Bancorporation,"Savings Institutions, Not Federally Chartered",12.0,P - Purchase,11.118594,125883.0,319162.0,65.0,1324261.0,11.23,11.16,11.14,11.33,12.14,12.49,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37,0.19,1.9,9.19,12.33,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
93,94,2021-04-19 14:35:05,2021-04-15,GABC,"German American Bancorp, Inc.",State Commercial Banks,24.0,P - Purchase,44.372208,282995.0,2144167.0,15.0,7306536.0,43.59,39.85,39.37,36.25,37.99,35.23,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.76,-10.19,-11.27,-18.3,-14.38,-20.6,-13.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
102,103,2021-04-16 16:05:17,2021-04-15,AHT,Ashford Hospitality Trust Inc,Real Estate Investment Trusts,5.0,P - Purchase,21.5,502086.0,2707332.0,23.0,2186083.0,25.3,25.5,62.3,23.2,14.95,15.23,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67,18.6,189.77,7.91,-30.47,-29.16,-34.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
90,91,2021-04-19 16:21:37,2021-04-15,REZI,"Resideo Technologies, Inc.",Hardware,16.0,P - Purchase,28.74,414936.0,497848.0,500.0,4848875.0,30.5,26.78,31.19,29.52,31.67,28.75,23.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,-6.82,8.52,2.71,10.19,0.03,-17.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
103,104,2021-04-16 16:03:48,2021-04-15,ARLO,"Arlo Technologies, Inc.",Household Audio & Video Equipment,6.0,P - Purchase,5.97,279835.0,1242568.0,29.0,1563667.0,6.31,6.02,6.86,6.25,5.9,6.52,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.84,14.91,4.69,-1.17,9.21,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
104,105,2021-04-16 15:12:55,2021-04-15,UMH,"Umh Properties, Inc.",Real Estate Investment Trusts,13.0,P - Purchase,18.966207,619992.0,4442943.0,16.0,8714491.0,20.67,20.38,22.56,21.66,23.53,23.97,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98,7.45,18.95,14.2,24.06,26.38,17.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
70,71,2021-04-21 14:48:06,2021-04-15,SMMF,Summit Financial Group Inc,State Commercial Banks,15.0,P - Purchase,25.605965,171164.0,1187266.0,17.0,4059399.0,25.94,24.18,22.95,21.91,23.82,23.81,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-5.57,-10.37,-14.43,-6.97,-7.01,-1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
106,107,2021-04-16 11:19:05,2021-04-15,CNBKA,Century Bancorp Inc,State Commercial Banks,14.0,P - Purchase,114.83813,957687.0,3569485.0,37.0,50609718.0,113.54,114.04,114.0,113.69,114.69,114.51,115.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13,-0.7,-0.73,-1.0,-0.13,-0.29,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
113,114,2021-04-15 16:39:50,2021-04-15,QCRH,Qcr Holdings Inc,State Commercial Banks,19.0,P - Purchase,47.993615,178834.0,1085210.0,20.0,3604487.0,47.98,47.23,47.42,46.28,49.94,50.16,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-1.59,-1.2,-3.57,4.06,4.51,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
89,90,2021-04-19 19:04:53,2021-04-15,CLI,Mack Cali Realty Corp,Real Estate Investment Trusts,8.0,P - Purchase,15.94,1758364.0,5300648.0,50.0,29900116.0,16.99,16.73,17.79,17.55,17.27,16.79,18.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59,4.96,11.61,10.1,8.34,5.33,13.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
96,97,2021-04-16 18:33:08,2021-04-14,RFIL,R F Industries Ltd,Electronic Connectors,9.0,P - Purchase,6.9,137349.0,1335129.0,11.0,650486.0,6.45,6.49,7.95,8.17,8.45,7.84,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.52,-5.94,15.22,18.41,22.46,13.62,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
118,119,2021-04-14 17:27:57,2021-04-14,EVRG,"Evergy, Inc.",Electric & Other Services Combined,4.0,P - Purchase,60.117507,2289947.0,2366407.0,999.0,114269110.0,62.87,61.58,63.53,60.96,66.5,64.89,62.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,2.43,5.68,1.4,10.62,7.94,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
109,110,2021-04-15 18:16:36,2021-04-13,GEL,"Reneo Pharmaceuticals, Inc.",Pharmaceutical Preparations,5.0,P - Purchase,8.926912,1933332.0,14547030.0,15.0,28999980.0,9.06,9.16,11.88,10.81,8.4,8.16,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,2.61,33.08,21.09,-5.9,-8.59,25.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
116,117,2021-04-14 21:03:32,2021-04-13,ATSPU,"Rapt Therapeutics, Inc.",Pharmaceutical Preparations,6.0,P - Purchase,9.94,1721950.0,10154345.0,20.0,20865550.0,10.0,9.96,9.97,9.98,9.9,9.89,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.3,0.4,-0.4,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
125,126,2021-04-13 11:01:50,2021-04-12,SLGG,"Super League Gaming, Inc.",Amusement & Recreation Services,7.0,P - Purchase,6.35,79592.0,664316.0,14.0,480098.0,5.56,4.62,5.25,5.14,4.06,3.9,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.44,-27.24,-17.32,-19.06,-36.06,-38.58,-51.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
122,123,2021-04-14 13:35:12,2021-04-12,TMP,Tompkins Financial Corp,State Commercial Banks,13.0,P - Purchase,79.689493,22698.0,160855.0,16.0,983606.0,77.75,79.3,82.79,73.96,75.64,77.05,81.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.43,-0.49,3.89,-7.19,-5.08,-3.31,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
121,122,2021-04-14 14:31:08,2021-04-12,BWFG,"Bankwell Financial Group, Inc.",State Commercial Banks,19.0,P - Purchase,26.908218,525553.0,3324028.0,19.0,9711817.0,27.35,29.21,28.89,26.91,29.03,28.79,29.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,8.55,7.36,0.01,7.89,6.99,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
145,146,2021-04-06 14:45:40,2021-04-06,JOAN,Joann Inc.,Miscellaneous Shopping Goods Stores,9.0,P - Purchase,11.576321,152550.0,158991.0,999.0,1800035.0,12.79,13.39,15.75,14.79,15.88,10.31,10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.48,15.67,36.05,27.76,37.18,-10.94,-8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
146,147,2021-04-06 14:37:07,2021-04-05,CLDB,Cortland Bancorp Inc,"Savings Institution, Federally Chartered",18.0,P - Purchase,23.072372,138632.0,520016.0,36.0,2141862.0,22.79,23.01,23.67,27.0,26.27,26.98,27.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,-0.27,2.59,17.02,13.86,16.94,20.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
135,136,2021-04-07 18:35:15,2021-04-05,GNPK,Genesis Park Acquisition Corp.,Blank Checks,5.0,P - Purchase,10.5,1302125.0,3692125.0,54.0,13101783.0,10.18,10.09,10.08,10.19,10.02,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.05,-3.9,-4.0,-2.95,-4.57,-2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
