Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,4m,6m,1yr,2yr,2w%,1m%,4m%,6m%,1yr%,2yr%,done
2021-06-02 09:24:14,2021-05-28,MNRO,"Monro, Inc.",Broderick Michael T,"CEO, Pres",P - Purchase,61.81,10000.0,90000.0,13.0,622362.0,,60.84,57.15,61.76,0.0,0.0,,-1.57,-7.54,-0.08,0.0,0.0,True
2021-06-01 13:37:20,2021-05-28,WMPN,William Penn Bancorporation,Stephon Kenneth John,"Pres, CEO",P - Purchase,10.97,3011.0,50087.0,6.0,33881.0,11.25,11.54,12.24,12.21,0.0,0.0,2.55,5.2,11.58,11.3,0.0,0.0,True
2021-05-28 14:41:20,2021-05-14,SCX,Starrett L S Co,Starrett Douglas A,"Pres, CEO",P - Purchase,8.8,500.0,1000.0,100.0,3230.0,9.16,8.9,10.45,10.1,0.0,0.0,4.09,1.14,18.75,14.77,0.0,0.0,True
2021-05-28 13:38:32,2021-05-28,NIHK,"Video River Networks, Inc.","Video River Networks, Inc.","Pres, CEO, 10%",P - Purchase,0.06,1569890.0,33081120.0,5.0,73628.0,0.05,0.06,0.08,0.0,0.0,0.0,-16.67,0.0,33.33,0.0,0.0,0.0,True
2021-05-28 12:14:46,2021-05-27,NWPP,New Peoples Bankshares Inc,Asbury Christopher Todd,"Pres, CEO",P - Purchase,1.98,3220.0,7920.0,69.0,6440.0,2.04,2.04,2.25,0.0,0.0,0.0,3.03,3.03,13.64,0.0,0.0,0.0,True
2021-05-27 16:37:48,2021-05-25,TPL,Texas Pacific Land Corp,Glover Tyler,"Pres, CEO",P - Purchase,1447.35,27.0,285.0,10.0,40606.0,1523.93,1572.75,,1273.67,0.0,0.0,5.29,8.66,,-12.0,0.0,0.0,True
2021-05-27 12:17:56,2021-05-26,BHLB,Berkshire Hills Bancorp Inc,Mhatre Nitin J.,"Pres, CEO",P - Purchase,27.5,2000.0,45617.0,5.0,52410.0,27.62,27.63,24.18,27.15,0.0,0.0,0.44,0.47,-12.07,-1.27,0.0,0.0,True
2021-05-26 21:28:23,2021-05-25,IMNM,Immunome Inc.,Sarma Purnanand D,"Pres, CEO",P - Purchase,20.92,10500.0,10500.0,New,193305.0,17.76,17.81,24.67,0.0,0.0,0.0,-15.11,-14.87,17.93,0.0,0.0,0.0,True
2021-05-26 21:05:04,2021-05-25,GFOR,Graf Acquisition Corp. IV,Garcia Gus,Co-Pres,P - Purchase,9.78,1500.0,1500.0,New,14886.0,9.75,9.73,9.76,0.0,0.0,0.0,-0.31,-0.51,-0.2,0.0,0.0,0.0,True
2021-05-26 16:06:01,2021-05-25,BHLB,Berkshire Hills Bancorp Inc,Mhatre Nitin J.,"Pres, CEO",P - Purchase,27.5,2000.0,43617.0,5.0,54043.0,27.62,27.63,24.18,27.15,0.0,0.0,0.44,0.47,-12.07,-1.27,0.0,0.0,True
2021-05-25 17:25:24,2021-05-21,IDXG,"Interpace Biosciences, Inc.",Burnell Thomas W.,"Pres, CEO",P - Purchase,8.48,10855.0,235855.0,5.0,94221.0,10.4,10.35,9.33,9.0,0.0,0.0,22.64,22.05,10.02,6.13,0.0,0.0,True
2021-05-25 13:38:14,2021-05-24,BHLB,Berkshire Hills Bancorp Inc,Mhatre Nitin J.,"Pres, CEO",P - Purchase,27.5,2000.0,41617.0,5.0,53990.0,27.62,27.63,24.18,27.15,0.0,0.0,0.44,0.47,-12.07,-1.27,0.0,0.0,True
2021-05-24 20:33:56,2021-05-20,BMBL,Bumble Inc.,Shaukat Tariq M,Pres,P - Purchase,40.45,200.0,201.0,999.0,7988.0,46.72,50.24,58.2,52.52,0.0,0.0,15.5,24.2,43.88,29.84,0.0,0.0,True
2021-05-24 17:05:20,2021-05-20,ASRT,"Assertio Holdings, Inc.",Peisert Daniel A.,"Pres, CEO",P - Purchase,1.48,15909.0,89655.0,22.0,24500.0,1.8,1.63,0.99,1.03,0.0,0.0,21.62,10.14,-33.11,-30.41,0.0,0.0,True
2021-05-24 14:54:24,2021-05-21,BHLB,Berkshire Hills Bancorp Inc,Mhatre Nitin J.,"Pres, CEO",P - Purchase,26.99,11000.0,39617.0,38.0,302042.0,27.9,26.76,25.25,27.15,0.0,0.0,3.37,-0.85,-6.45,0.59,0.0,0.0,True
2021-05-21 18:05:44,2021-05-21,PASG,"Passage Bio, Inc.",Goldsmith Bruce A,"CEO, Pres",P - Purchase,13.65,2000.0,5983.0,50.0,26230.0,12.44,14.36,11.18,8.72,0.0,0.0,-8.86,5.2,-18.1,-36.12,0.0,0.0,True
2021-05-21 17:14:51,2021-05-19,T,At&t Inc.,Stankey John T,"CEO, Pres",P - Purchase,28.91,34614.0,499958.0,7.0,997227.0,28.2,27.6,27.04,25.49,0.0,0.0,-2.46,-4.53,-6.47,-11.83,0.0,0.0,True
