idx,Option,Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1yr,2yr,2w%,1m%,2m%,3m%,4m%,5m%,6m%,7m%,8m%,9m%,10m%,11m%,1yr%,2yr%,active,done,skip,source,exchange
1,False,2016-02-12,2016-02-12,CRDC,Cardica Inc,Newell Robert Y IV,"VP Finance, CFO, Secretary",P - Purchase,2.6,40000.0,239975.0,20.0,10400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
5,False,2016-02-12,2016-02-11,BID,Sothebys,Weibling Dennis M,Interim CFO,P - Purchase,19.83,4000.0,77000.0,5.0,79954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
4,False,2016-02-12,2016-02-10,RRTS,"Roadrunner Transportation Systems, Inc.",Armbruster Peter R.,"CFO, Tr, Sec.",P - Purchase,264.0,5000.0,81085.0,7.0,52310.0,286.5,307.0,312.25,299.0,200.25,192.75,189.25,222.0,190.5,188.5,266.25,265.25,174.5,124.5,8.52,16.29,18.28,13.26,-24.15,-26.99,-28.31,-15.91,-27.84,-28.6,0.85,0.47,-33.9,-52.84,False,True,True,YF,
3,False,2016-02-12,2016-02-12,OESX,"Orion Energy Systems, Inc.",Hull William T,CFO,P - Purchase,1.32,10000.0,117416.0,9.0,12000.0,1.32,1.35,1.43,1.47,1.38,1.15,1.39,1.36,1.41,1.2,2.25,2.22,1.8,0.79,0.0,2.27,8.33,11.36,4.55,-12.88,5.3,3.03,6.82,-9.09,70.45,68.18,36.36,-40.15,True,True,True,YF,NASDAQ
6,False,2016-02-12,2016-02-11,OFG,Ofg Bancorp,Kumar Ganesh,"CFO, EVP",P - Purchase,4.325,5000.0,10000.0,100.0,24733.0,4.86,6.05,,7.6,7.62,7.31,8.58,9.81,,9.12,11.42,12.74,11.84,9.09,12.37,39.88,,75.72,76.18,69.02,98.38,126.82,,110.87,164.05,194.57,173.76,110.17,True,True,True,YF,NYSE
2,False,2016-02-12,2016-02-11,BKD,Brookdale Senior Living Inc.,Baier Lucinda M,CFO,P - Purchase,12.31,4000.0,40081.0,11.0,50871.0,13.77,15.71,15.62,18.46,18.08,15.73,18.4,17.67,15.3,14.69,11.49,12.55,15.42,9.6,11.86,27.62,26.89,49.96,46.87,27.78,49.47,43.54,24.29,19.33,-6.66,1.95,25.26,-22.01,True,True,True,YF,NYSE
10,False,2016-02-11,2016-02-11,GSIT,Gsi Technology Inc,Schirle Douglas,CFO,P - Purchase,3.43,5000.0,30000.0,20.0,17481.0,3.45,3.98,4.02,3.88,3.84,4.18,4.85,4.81,5.0,5.3,5.43,6.23,5.97,7.6,0.58,16.03,17.2,13.12,11.95,21.87,41.4,40.23,45.77,54.52,58.31,81.63,74.05,121.57,True,True,True,YF,
8,False,2016-02-11,2016-02-10,COVS,Covisint Corp,Digirolamo Enrico,CFO,P - Purchase,1.93,15000.0,26000.0,136.0,26700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
7,False,2016-02-11,2016-02-09,CAVM,"Cavium, Inc.",Chadwick Arthur D,"VP Finance, Admin CFO",P - Purchase,45.96,20000.0,68172.0,42.0,955400.0,58.65,60.93,64.04,48.69,49.12,37.32,46.12,56.07,53.45,57.56,56.03,63.04,66.75,85.55,27.61,32.57,39.34,5.94,6.88,-18.8,0.35,22.0,16.3,25.24,21.91,37.16,45.23,86.14,False,True,True,YF,
9,False,2016-02-11,2016-02-09,C,Citigroup Inc,Gerspach John C,CFO,P - Purchase,30.99,13000.0,295242.0,5.0,489060.0,34.15,36.47,36.47,,38.65,34.11,38.18,40.15,40.67,42.02,46.02,51.59,51.2,66.27,10.2,17.68,17.68,,24.72,10.07,23.2,29.56,31.24,35.59,48.5,66.47,65.21,113.84,True,True,True,YF,NYSE
14,False,2016-02-10,2016-02-10,AWH,"Allied World Assurance Co Holdings, AG",Bradley Thomas A,"EVP, CFO",P - Purchase,1.13,3000.0,8050.0,59.0,94110.0,1.53,1.52,1.47,1.42,1.26,1.11,1.4,1.32,1.08,1.0,1.18,0.95,1.3,1.45,35.4,34.51,30.09,25.66,11.5,-1.77,23.89,16.81,-4.42,-11.5,4.42,-15.93,15.04,28.32,False,True,True,YF,
