Unnamed: 0,idx,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1yr,2yr,2w%,1m%,2m%,3m%,4m%,5m%,6m%,7m%,8m%,9m%,10m%,11m%,1yr%,2yr%,active,done,skip,source,exchange
0,1,2018-04-24,2014-12-11,HIIQ,"Health Insurance Innovations, Inc.","Insurance Agents, Brokers & Service",4.0,P - Purchase,0.0,90165.0,131938.0,216.0,757121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
1,2,2017-12-05,2016-08-15,AGLE,"Aeglea Biotherapeutics, Inc.",Pharmaceutical Preparations,4.0,P - Purchase,0.0,835959.0,4924254.0,20.0,8216223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NASDAQ
2,3,2017-04-20,2015-02-19,ESES,"Eco-Stim Energy Solutions, Inc.",Oil & Gas Field Services,6.0,P - Purchase,0.0,1577790.0,14802570.0,12.0,6036422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
3,4,2017-02-10,2016-08-23,TBBK,"Bancorp, Inc.",National Commercial Banks,7.0,P - Purchase,0.0,1291000.0,2522359.0,105.0,5860260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
4,5,2016-12-21,2016-11-08,REXR,"Rexford Industrial Realty, Inc.",Real Estate Investment Trusts,7.0,P - Purchase,0.0,141381.0,689342.0,26.0,2009706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
5,6,2016-12-06,2016-05-13,IBTX,"Independent Bank Group, Inc.",State Commercial Banks,5.0,P - Purchase,0.0,157429.0,199020.0,379.0,4336715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NASDAQ
6,7,2016-12-05,2015-02-13,DWCH,Datawatch Corp,Prepackaged Software,4.0,P - Purchase,0.0,2941090.0,3101105.0,999.0,20680223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
7,8,2016-11-22,2016-11-18,HD,Home Depot Inc,Lumber & Other Building Materials Dealers,6.0,P - Purchase,0.0,87750.0,112154.0,360.0,8583292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
8,9,2016-11-22,2016-11-08,FRSH,"Papa Murphy'S Holdings, Inc.",Eating Places,4.0,P - Purchase,0.0,231083.0,260769.0,778.0,1399707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
12,13,2016-11-21,2016-11-17,AT,Atlantic Power Corp,"Electric, Gas & Sanitary Services",4.0,P - Purchase,0.0,528145.0,1212878.0,77.0,1119510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
13,14,2016-11-21,2014-12-04,GLUU,Glu Mobile Inc,Computer Programming Services,5.0,P - Purchase,0.0,19567502.0,29013617.0,207.0,85952829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
10,11,2016-11-21,2016-08-18,EIGR,"Eiger Biopharmaceuticals, Inc.","Biological Products, (No Diagnostic Substances)",10.0,P - Purchase,0.0,1379338.0,11136340.0,14.0,12607908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NASDAQ
11,12,2016-11-21,2016-11-16,FSNN,Fusion Telecommunications International Inc,Telephone Communications (No Radiotelephone),4.0,P - Purchase,0.0,8604073.0,28262438.0,44.0,1451000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
9,10,2016-11-21,2015-02-25,BRX,Brixmor Property Group Inc.,Real Estate Investment Trusts,4.0,P - Purchase,0.0,70700.0,95792.0,282.0,1594671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
14,15,2016-11-18,2012-11-01,TUEM,Tuesday Morning Corp,Variety Stores,5.0,P - Purchase,0.0,2484444.0,3801107.0,189.0,13754294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NASDAQ
15,16,2016-11-17,2016-11-17,PSXP,Phillips 66 Partners LP,Pipe Lines (No Natural Gas),8.0,P - Purchase,0.0,239639.0,239639.0,0.0,5940717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
16,17,2016-11-17,2014-10-07,CALA,"Calithera Biosciences, Inc.",Pharmaceutical Preparations,7.0,P - Purchase,0.0,3600000.0,17032467.0,27.0,32575000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NASDAQ
20,21,2016-11-16,2016-11-15,TIER,Tier Reit Inc,Real Estate Investment Trusts,4.0,P - Purchase,0.0,75800.0,201621.0,60.0,1071452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
21,22,2016-11-16,2016-11-14,NGL,Ngl Energy Partners LP,Petroleum & Petroleum Products (No Bulk Stations),5.0,P - Purchase,0.0,210000.0,1092307.0,24.0,4471956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
19,20,2016-11-16,2016-11-14,CCP,"Care Capital Properties, Inc.",Real Estate Investment Trusts,4.0,P - Purchase,0.0,98514.0,344568.0,40.0,2543542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
17,18,2016-11-16,2014-02-04,DRNA,Dicerna Pharmaceuticals Inc,Pharmaceutical Preparations,5.0,P - Purchase,0.0,2433100.0,8382221.0,41.0,36122643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NASDAQ
18,19,2016-11-16,2016-11-16,EPD,Enterprise Products Partners L P,Natural Gas Transmission,5.0,P - Purchase,0.0,272000.0,443820.0,158.0,6886760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
22,23,2016-11-15,2014-11-03,CCI,Crown Castle International Corp,Real Estate Investment Trusts,5.0,P - Purchase,0.0,129088.0,152092.0,561.0,10219199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
23,24,2016-11-15,2014-10-29,SHLX,"Shell Midstream Partners, L.P.",Pipe Lines (No Natural Gas),6.0,P - Purchase,0.0,86935.0,92335.0,999.0,2631085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
24,25,2016-11-15,2016-11-11,STKL,Sunopta Inc.,Farm Product Raw Materials,5.0,P - Purchase,0.0,228400.0,393947.0,138.0,1629669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NASDAQ
25,26,2016-11-15,2016-11-14,PJT,Pjt Partners Inc.,Investment Advice,6.0,P - Purchase,0.0,534000.0,531500.0,-21360.0,11558937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,,NYSE
26,27,2016-11-15,2016-11-10,D,Dominion Resources Inc ,Electric Services,6.0,P - Purchase,0.0,127684.0,319705.0,66.0,8503740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
27,28,2016-11-15,2016-11-11,GOGO,Gogo Inc.,Communications Services,4.0,P - Purchase,0.0,767867.0,1132930.0,210.0,8043938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,
